INFO:root:So should this
WARNING:root:And this, too
WARNING:root:Starting heatstop
04/28/20:10:36:12,854 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:36:19,679 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:36:26,460 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:36:33,268 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:36:40,50 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:36:46,864 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:36:53,674 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:00,464 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:07,261 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:14,66 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:21,744 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:28,607 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:35,415 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:42,208 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:49,110 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:37:55,886 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:02,715 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:09,567 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:16,374 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:23,162 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:30,48 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:36,848 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:43,651 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:50,548 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:38:57,320 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:04,143 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:11,2 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:17,835 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:24,603 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:31,498 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:38,282 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:45,82 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:51,973 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:39:58,762 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:05,571 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:12,466 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:19,248 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:26,40 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:32,917 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:39,718 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:46,524 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:40:53,400 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:00,199 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:07,3 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:14,805 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:20,682 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:27,487 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:34,359 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:41,163 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:48,191 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:41:54,852 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:01,655 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:08,446 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:15,324 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:22,125 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:29,152 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:36,694 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:43,474 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:50,292 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:42:57,153 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:03,974 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:10,754 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:17,660 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:24,436 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:31,256 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:38,111 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:44,958 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:51,711 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:43:58,609 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:05,397 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:12,224 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:19,73 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:25,873 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:32,674 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:39,552 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:46,363 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:44:53,150 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:00,911 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:07,728 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:14,513 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:45:21,327 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:28,115 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:34,926 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:41,710 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:49,447 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:45:56,208 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:02,993 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:09,793 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:16,590 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:46:23,401 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:30,199 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:36,990 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:43,794 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:50,592 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:46:57,393 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:47:04,197 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:47:10,988 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:47:17,804 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:47:24,593 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:47:31,411 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:47:38,199 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:47:45,13 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:47:51,788 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:47:58,607 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:48:05,388 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:48:12,224 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:48:18,987 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:48:25,804 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:48:32,586 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:48:39,405 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:48:46,188 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:48:53,6 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:48:59,787 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:06,606 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:13,386 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:20,204 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:27,55 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:33,810 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:40,669 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:47,483 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:49:54,269 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:50:01,89 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:07,868 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:14,693 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:21,468 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:28,286 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:35,72 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:41,872 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:48,671 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:50:55,472 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:02,266 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:09,87 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:15,867 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:22,701 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:29,471 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:36,293 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:43,68 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:49,884 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:51:56,690 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:03,488 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:10,266 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:17,88 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:23,865 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:30,683 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:37,478 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:44,290 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:51,68 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:52:57,883 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:04,665 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:11,566 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:18,342 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:25,164 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:32,27 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:38,824 root WARNING Water temp = 75.65f TOO HOT
04/28/20:10:53:45,631 root WARNING Water temp = 75.65f TOO HOT
